country,year,life_expectancy_at_birth,source,source_url
Afghanistan,1950,28.16,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1951,28.58,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1952,29.01,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1953,29.45,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1954,29.7,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1955,30.37,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1956,30.83,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1957,31.35,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1958,31.84,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1959,32.34,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1960,32.8,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1961,33.29,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1962,33.76,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1963,34.2,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1964,34.67,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1965,35.12,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1966,35.58,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1967,36.04,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1968,36.51,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1969,36.98,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1970,37.46,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1971,37.93,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1972,38.42,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1973,38.95,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1974,39.47,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1975,39.99,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1976,40.52,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1977,41.08,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1978,40.09,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1979,38.84,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1980,39.26,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1981,39.41,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1982,36.06,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1983,36.52,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1984,31.47,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1985,32.13,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1986,38.4,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1987,38.83,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1988,43.24,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1989,44.5,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1990,45.12,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1991,45.52,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1992,46.57,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1993,51.02,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1994,50.97,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1995,52.1,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1996,52.83,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1997,53.21,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1998,52.49,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,1999,54.53,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,2000,55,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,2001,55.51,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,2002,56.23,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,2003,57.17,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,2004,57.81,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,2005,58.25,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,2006,58.55,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,2007,58.96,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,2008,59.71,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,2009,60.25,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,2010,60.7,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,2011,61.25,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,2012,61.73,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,2013,62.19,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,2014,62.26,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,2015,62.27,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,2016,62.65,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,2017,62.41,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,2018,62.44,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,2019,62.94,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,2020,61.45,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,2021,60.42,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,2022,65.62,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Afghanistan,2023,66.03,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1770,26.4,Riley,https://doi.org/10.1111/j.1728-4457.2005.00083.x
